Well,Content,Raw Data 
A01,Sample X1,220
A02,Sample X2,18464
A03,Sample X3,218
A04,Sample X4,4005
A05,Sample X5,7112
A06,Sample X6,222
A07,Sample X7,3422
A08,Sample X8,222
A09,Sample X9,215
A10,Sample X10,20844
A11,Sample X11,214
A12,Sample X12,208
B01,Sample X13,10989
B02,Sample X14,218
B03,Sample X15,4802
B04,Sample X16,2169
B05,Sample X17,1206
B06,Sample X18,222
B07,Sample X19,218
B08,Sample X20,5766
B09,Sample X21,4065
B10,Sample X22,628
B11,Sample X23,218
B12,Sample X24,2816
C01,Sample X25,212
C02,Sample X26,221
C03,Sample X27,224
C04,Sample X28,218
C05,Sample X29,6618
C06,Sample X30,22476
C07,Sample X31,219
C08,Sample X32,216
C09,Sample X33,221
C10,Sample X34,2405
C11,Sample X35,13012
C12,Sample X36,213
D01,Sample X37,218
D02,Sample X38,10967
D03,Sample X39,221
D04,Sample X40,13744
D05,Sample X41,212
D06,Sample X42,224
D07,Sample X43,216
D08,Sample X44,221
D09,Sample X45,218
D10,Sample X46,2617
D11,Sample X47,216
D12,Sample X48,209
E01,Sample X49,220
E02,Sample X50,214
E03,Sample X51,216
E04,Sample X52,224
E05,Sample X53,7408
E06,Sample X54,210
E07,Sample X55,220
E08,Sample X56,22398
E09,Sample X57,224
E10,Sample X58,16219
E11,Sample X59,17175
E12,Sample X60,209
F01,Sample X61,10724
F02,Sample X62,221
F03,Sample X63,208
F04,Sample X64,216
F05,Sample X65,210
F06,Sample X66,214
F07,Sample X67,8548
F08,Sample X68,211
F09,Sample X69,218
F10,Sample X70,1769
F11,Sample X71,9642
F12,Sample X72,6138
G01,Sample X73,211
G02,Sample X74,214
G03,Sample X75,214
G04,Sample X76,212
G05,Sample X77,209
G06,Sample X78,217
G07,Sample X79,214
G08,Sample X80,702
G09,Sample X81,22539
G10,Sample X82,2669
G11,Sample X83,212
G12,Sample X84,206
H01,Sample X85,214
H02,Sample X86,210
H03,Sample X87,212
H04,Sample X88,210
H05,Sample X89,217
H06,Sample X90,19605
H07,Sample X91,206
H08,Sample X92,208
H09,Sample X93,941
H10,Sample X94,2109
H11,Sample X95,6234
H12,Sample X96,202
